Date,Predicted_Energy_Production
2025-12-11,805.5741556601436
2025-12-12,799.8831541422672
2025-12-13,800.0647188400195
2025-12-14,800.0647188400195
2025-12-15,800.2872926650934
2025-12-16,801.4068149779335
2025-12-17,801.4054510565398
2025-12-18,789.5284499583419
2025-12-19,786.7068463821239
2025-12-20,791.9749702283442
2025-12-21,792.2143139796275
2025-12-22,792.0000792466723
2025-12-23,792.3716907863401
2025-12-24,792.4393645171402
2025-12-25,784.4949157558532
2025-12-26,784.5854377478717
2025-12-27,784.5506164796276
2025-12-28,784.5506164796276
2025-12-29,778.4781251535031
2025-12-30,778.6189586979248
2025-12-31,777.0707456261686
2026-01-01,783.4048742054784
2026-01-02,782.4215180426562
2026-01-03,782.4215180426562
2026-01-04,782.5299704938251
2026-01-05,782.2055677128127
2026-01-06,784.225173829776
2026-01-07,784.2487831754839
2026-01-08,783.8246169072128
2026-01-09,783.1373172826729
2026-01-10,785.6894361497903
2026-01-11,786.4970840472432
2026-01-12,781.2457257996302
2026-01-13,783.3315518492931
